Unnamed,Source,Category,Date,Author,Title,Tags,Subtitle,Content
0,businessStandards,['International'],1/31/2018 10:54,['AFP/PTI'],['Saudi Arabia recovers $107 billion in corruption purge; 56 suspects held'],"['Saudi Arabia', 'Middle East', 'Saudi', 'Saudi Corruption Cases', 'Saudi Crackdown On Corruption', 'Gulf Nations', 'International News', 'International', 'Others']",['Those caught up in the corruption crackdown were detained at the luxury Ritz-Carlton hotel in Riyadh'],
0,businessStandards,['International'],1/31/2018 10:28,['Kevin Johnson | The Conversation'],"[""Trump's path to citizenship for 1.8 mn will leave out  half of all Dreamers""]","['Donald Trump', 'Trump On Immigrants', 'Immigration', 'Us Visa', 'Us Citizenship', 'Us Citizens', 'Trump Latest News', 'Trump Speech', 'International News', 'International', 'Politics']","['In a recent proposal, President Donald Trump has offered to provide a path to legalization for 1.8 million Dreamers']",
0,businessStandards,['International'],1/31/2018 9:59,"['Norimitsu Onishi', 'Somini Sengupta | NYT']","[""Dangerously low on water, Cape Town to face 'Day Zero' within months""]","['Water Shortage', 'Cape Town', 'South Africa', 'Day Zero', 'Water Scarcity', 'Desalination', 'Africa Water Crisis', 'International', 'Others']","[""As far back as 2007, South Africa's Department of Water Affairs warned that the city needed to consider increasing its supply with groundwater, desalination and other sources""]",
0,businessStandards,['International'],1/31/2018 9:35,['BS Web Team'],"[""Let's end visa lottery: Trump pitches for merit-based immigration in speech""]","['Donald Trump', 'Trump Speech', 'State Of The Union Address', 'Highlights Of Trump Speech', 'Trump State Of Union Address', 'Us Politics', 'Us News', 'Trump Administration', 'World News', 'Republicans', 'Democrats', 'Us President', 'International', 'Politics']","[""Here are highlights of US President Donald Trump's first State of the Union address to Congress""]",
0,businessStandards,['International'],1/31/2018 9:26,"['Kelly Giblom', 'Kevin Crowley | Bloomberg']","['As oil majors escape being routed by shale, key questions emerge for 2018']","['Us Oil Majors', 'Oil', 'Oil Prices', 'Crude', 'Brent', 'Crude Oil', 'Shale', 'Chevron', 'Exxon', 'Shell', 'Bp', 'Shale Oil', 'International', 'Economy']","[""US shale production, which will reach a record this year, has upended energy markets, geopolitics, and major oil companies' capital spending""]",
0,businessStandards,['International'],1/31/2018 9:16,['Linda Qiu | NYT'],['State of the Union: How truthful was Trump in his first year as President?'],"['Us', 'Donald Trump', 'Trump Promises', 'Trump Achievements', 'Us President', 'Us Economy', 'State Of The Union', 'International', 'Others']","[""Take a look at some lessons and themes drawn from a year of fact-checking Trump's public remarks, interviews and social media posts as president""]",
0,businessStandards,['International'],1/31/2018 8:42,"['Robert Langreth', 'Zachary Tracer | Bloomberg']",['Disrupting healthcare: Long-dreaded threat to drug middlemen draws close'],"['Us Healthcare', 'Amazon Joint Venture', 'Amazon.com', 'Berkshire Hathaway', 'Jpmorgan Chase', 'Us Healthcare Disruption', 'Healthcare Cost', 'Health Insurance', 'International', 'Companies']","['The prospect of Amazon entering the health-care industry has had retailers, drugmakers and insurance companies looking over their shoulders since last fall']",
0,businessStandards,['International'],1/31/2018 8:17,['Hugh Son | Bloomberg'],"['US healthcare disruption: How Bezos, Buffett and Dimon closed the JV deal']","['Us Healthcare', 'Amazon', 'Berkshire', 'Jpmorgan', 'Healthcare Joint Venture', 'Jeff Bezos', 'Warren Buffett', 'Jamie Dimon', 'Us Healthcare Cost', 'International', 'Companies']","['Todd Combs, the Berkshire investment officer is one of the three executives tasked with helping create the endeavor']",
0,businessStandards,['International'],1/31/2018 8:13,['Justin Sink | Bloomberg'],"[""Donald Trump speech: We have arrived at 'new American moment' of prosperity""]","['Donald Trump', 'Trump Speech', 'State Of The Union Address', 'Highlights Of Trump Speech', 'Trump State Of Union Address', 'Us Politics', 'Us News', 'Trump Administration', 'World News', 'Republicans', 'Democrats', 'Us President', 'International', 'Politics']",['President Trump dispensed with his trademark antagonism in a bid for bipartisanship'],
0,businessStandards,['International'],1/31/2018 7:58,['Reuters'],"['Volkswagen suspends top lobbyist over fume tests on humans, monkeys']","['Volkswagen Diesel Fumes Test', 'Volkswagen Monkey Test', 'Human Test', 'Diesel Fume Test', 'Dieselgate', 'European Research Group', 'International', 'Companies']",['Volkswagen appointed politics expert Jens Hanefeld as his interim replacement'],
0,businessStandards,['International'],1/31/2018 7:54,['Reuters'],['May under fire after leaked paper says UK economy to fare badly post Brexit'],"['Theresa May', 'Brexit Analysis', 'Eu Exit Analysis', 'Britain', 'United Kingdom', 'European Union', 'Labour Party', 'Brexit', 'International', 'Politics']","['Opposition lawmakers, and some even in the ruling Conservative Party, said enough was enough']",
0,businessStandards,['International'],1/31/2018 7:53,['ANI'],['Hawaii employee who sent false missile alert fired; top official resigns'],"['Ballistic Missile Alert', 'Hawaii Emergency Service', 'False Alarm', 'David Ige', 'Hawaii Missile Alert', 'International', 'Others']",['Hawaiian Governor David Ige admitted that there was a delay in notifying the public about the false missile alert earlier this month'],
0,businessStandards,['International'],1/31/2018 7:42,['Reuters'],"[""US banks' #MeToo moment: Shareholders seek data on diversity, women's pay""]","['Usa', 'Us Banks', '#metoo', 'Gender Gap In Pay', 'Citigroup', 'Jp Morgan Chase', 'Bankam', 'Finance', 'Trillium Asset Management', 'Arjuna Capital', '#metoo Movement', 'International', 'Companies']",['The subject is also gaining attention as investors poured $4.7 billion last year into funds that evaluate companies on social criteria'],
