Unnamed,Source,Category,Date,Author,Title,Tags,Subtitle,Content
0,businessStandards,['Current Affairs'],1/31/2018 11:19,['BS Web Team'],"[""INS Karanj reborn as Navy's Scorpene class submarine: 10 things to know""]","['Ins Karanj', 'Indian Navy Launches Karanj', 'Indian Navy', 'Karanj', 'Navy Submarine', 'Scorpene Class Submarine', 'Mazagon Dock Shipbuilders Limited', 'Ins Kalvari', 'Khandari', 'Karanj Submarine', 'Navy New Submarine', ""India's Third Scorpene Class Submarin"", 'Scorpene Submarines', 'Current Affairs', 'National']",['The state-of-the-art features of the Scorpenes include superior stealth and ability to launch crippling attacks with precision-guided weapons'],
0,businessStandards,['Current Affairs'],1/31/2018 10:23,['Karuna Ezara Parikh | The Wire'],"[""Dior's dirty laundry: A billion-dollar firm failed to give credit yet again""]","[""Dior's Design Copy"", 'Print Plagiarism', 'Elle India', 'People Tree', ""Dior's Collection"", 'Sonam Kapoor', 'Elle Magazine', 'Apparel Design Copy', 'Intellectual Property Rights', ""Dior's Print Plagiarism"", 'Current Affairs', 'National']","[""At People Tree, we were shocked to see Sonam Kapoor on cover of the magazine in a dress from Dior's Spring/Summer 2018 Cruise Line, which looked exactly like it had been crafted by us""]",
0,businessStandards,['Current Affairs'],1/31/2018 10:06,['Shannon Schmoll | The Conversation'],['See super blue blood moon tonight: What makes it moon look full and why'],"['Super Blue Blood Moon Pictures', 'What Is Super Blue Moon', 'Blood Red Moon', 'Blue Moon', 'What Is Lunar Eclipse', 'Lunar Eclipse', 'Super Blue Moon In India', 'Science News', 'Super Blue Blood Moon', 'Current Affairs', 'Science And Technology']","['There will be a full moon, a total lunar eclipse, a blue moon and a supermoon - all at the same time']",
0,businessStandards,['Current Affairs'],1/31/2018 9:39,['IANS'],"[""Hours after US tourist's complaint on Facebook, molestor held in Goa""]","['Us Tourist', 'Goa Molestation', 'Tourist Assault', 'Goa', 'Republic Day', 'Tourist Molestation', 'Current Affairs', 'National']",['The New York-based tourist in her Facebook post uploaded late Monday night had narrated her harrowing experience during the Republic Day weekend'],
0,businessStandards,['Current Affairs'],1/31/2018 7:17,['IANS'],"[""Kasganj riot: Yogi vows action; 1 victim claimed to be dead says, I'm alive""]","['Kasganj', 'Up', 'Uttar Pradesh', 'Yogi Adityanath', 'Kasganj News', 'Kasganj Riot', 'Up Cm', 'Politics News', 'Kasganj Violence', 'Current Affairs', 'National']",['A young man rumoured to have been killed in the communal clashes surfaced on Tuesday and trashed reports of his death'],
0,businessStandards,['Current Affairs'],1/31/2018 2:37,['BS Web Team'],"[""News digest: Budget's gender theme, CEA's take on fiscal road map, and more""]","['Incentives', 'Women Workers', 'Employmentr', 'Pmrpy', 'Arvind Subramanian', 'Bs News Digest', 'Current Affairs', 'National']","['From incentives for hiring women workers to Arvind Subramanian on fiscal road map, BS brings you top stories to keep up with the latest news']",
0,businessStandards,['Current Affairs'],1/31/2018 11:55,['BS Web Team'],"[""Zara is selling your dad's 'lungi' for Rs 5000 & Twitter can't deal with it""]","['Zara Lungi', 'Lungi', 'Skirt', 'Zara', 'Spanish Brand', 'Fashion', 'Brand', 'Clothing', 'South India', 'Current Affairs', 'National']",['Twitterati pounced on the Spanish apparel brand in no time'],
0,businessStandards,['Current Affairs'],1/31/2018 14:06,['IANS'],"[""New cruise service offers lingering view of Mumbai's iconic skyline""]","['Mumbai Cruise', 'Cruise Service', 'Arabian Sea', 'Ship', 'Mumbai Maiden', 'Maharashtra Tourism', 'Current Affairs', 'National']","['From the upper deck of the ship, one can identify various prominent buildings, towers, five-star hotels, promenades, ancient forts and their remnants of Mumbai']",
0,businessStandards,['Current Affairs'],1/31/2018 13:31,['IANS'],"['6.1 magnitude earthquake hits Afghanistan; tremors felt in Delhi-NCR, J&K']","['Earthquake In Delhi', 'Earthquake', 'Afghanistan Earthquake', 'Earthquake Live', 'Earthquake Today', 'Earthquake News', 'Tremore In Delhi', 'Delhi Ncr Earthquake', 'Earthquake Latest News', 'Current Affairs', 'National']",['Tremors were felt in Delhi and NCR at around 12:40 pm on Wednesday that lasted for a few seconds'],
0,businessStandards,['Current Affairs'],1/31/2018 14:43,['BS Web Team'],['DDA may raise floor area ratio of commercial establishments from 180 to 300'],"['Mcd', 'Dda Sealing', 'Dda Sealing Drive', 'Aap Mla Disqualification', 'Current Affairs', 'National']","['Increase in floor area ratio, will be subject to conditions of providing parking facilities and sanctions of building plans from the civic authorities']",
