CompanyName,Source,Category,Date,Author,Title,Tags,Subtitle,Content
Cipla,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-07T14:13:00,['ET Now'],['Buy Cipla with a target of Rs 436: Ashwani Gujral'],"['Cipla', 'Ashwani Gujral']",[],"[""In a chat with ET Now,Ashwani Gujralof ashwanigujral.com, shares his views onCipla.ET Now: What are your stock recommendations?Ashwani Gujral: Cipla is a 'BUY' call with a target of Rs 436 and a stop loss of Rs 417.""]"
Cipla,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-08T14:58:00,['ET Now'],['Cipla is a buy with a target of Rs 446: Ashwani Gujral'],"['Cipla', 'Fund manager', 'Ashwani Gujral', 'ashwanigujral.com', '(Technical Check)', 'Cipla.']",[],"['In a chat with ET NOW,Ashwani Gujral,Fund Manager,Ashwanigujral.com(Technical Check)) gives his call onCipla.What is your stock call on Cipla?Cipla is a buy with a stop of about Rs 424, target of Rs 446.']"
Cipla,econominc-times,"['Markets', 'Stocks', 'News']",2013-01-08T21:50:00,['PTI'],['LIC sells Cipla shares; lowers stake to 6.21 per cent'],"['insurance', 'life insurance', 'LIC', 'Cipla', 'Life Insurance Corporation', 'BSE', 'NSE']",[],"['MUMBAI: State-runLife Insurance Corporationhas sold 2.12 per cent stake in drug manufacturerCiplathrough open market transactions over a period of nearly five months.The insurer has reduced the stake to 6.21 per cent. ""LIChas sold 1.7 crore shares representing 2.12 per cent stake of the company between August 21, 2012 and January 7, 2013 via open market,"" Cipla said in a filing to theBSE.However, financial details were not disclosed. Following the stake sale, LIC\'s total shareholding in the company has come down to 6.21 per cent from 8.34 per cent.LIC held over 5.82 crore shares or 7.25 per cent stake in the company as on September 30, 2012.Meanwhile, Foreign Institutional Investors (FIIs) have raised their holding in Cipla to 20.79 per cent in September 2012 from 13.09 per cent at the end of December 2011.Shares of Cipla ended the day 1.31 per cent higher at Rs 428.85 on the BSE.']"
Cipla,econominc-times,"['Markets', 'Stocks', 'News']",2013-01-13T01:30:00,['PTI'],['LIC sells Cipla shares for Rs 665 crore; cuts stake to 6.21%'],"['insurance', 'life insurance', 'LIC', 'Cipla', 'Life Insurance Corporation', 'M&A', 'BSE']",[],"['NEW DELHI: Drug majorCiplatoday said state-runLife Insurance Corporationhas sold 2.12 per cent stake in it through open market transactions for Rs 665.39 crore.The insurer has reduced its stake to 6.21 per cent through the open market sales, it added.""LIChas sold 1.7 crore shares representing 2.12 per cent stake of the company between August 21, 2012 and January 7, 2013 via open market,"" Cipla said in a filing to theBSE.Following the transactions, LIC\'s total shareholding in the company has come down to 6.21 per cent from 8.34 per cent.Meanwhile,Foreign Institutional Investors(FIIs) have raised their holding in Cipla to 20.79 per cent in September 2012 from 18.08 per cent at the end of June 2012.']"
Cipla,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-16T12:42:00,['ET Now'],['Buy Cipla with a price target of Rs 430: Prakash Gaba'],"['et now', 'Cipla', 'prakash gaba', 'prakashgaba.com']",[],"['In a chat withET Now,Prakash Gaba, CFT,prakashgaba.com, shares his views onCiplaLimited.ET Now: What is the call on Cipla?Prakash Gaba:Buy Cipla with a stop loss of Rs 418 and look for a price target of Rs 430.']"
Cipla,econominc-times,"['Industry', 'Healthcare/Biotech', 'Pharmaceuticals']",2013-01-23T21:38:00,[''],"[""Cipla Medpro likely to push India's Cipla to raise bid""]","['Cipla Medpro', 'M&A', 'Emkay Global', 'Deepak Malik', 'Avior Research', 'Cipla Ltd', 'Mathew Menezes']",[],"['JOHANNESBURG/ MUMBAI: Drug company Cipla Medpro is expected to demand more than the $215 million on offer from Indian suitor Cipla Ltd to reflect a lucrative government contract win that will increase its earnings power.But the board of South Africa\'s No. 3 drug company should tread carefully in raising the stakes in this takeover deal because Cipla Ltd provides the bulk of the drugs it sells.Cipla Ltd is to offer 8.55 rand per share for a 51 percent stake in Cipla Medpro. The Indian group supplies drugs to the Cape Town-based company, but has never owned a stake.""It would be prudent for Cipla Medpro\'s board to go back to Cipla Ltd and try a get a better deal to reflect this contract win,"" said one banker, not involved in the process.The Johannesburg stock market is already betting on a sweetened offer from the Indian firm, which has the second largest share of India\'s $13 bln drug sector.Cipla Medpro shares are about 4 percent above Cipla\'s proposed 8.55 rand offer price.The Indian company\'s so-called ""south-south"" takeover bid shows the attractions of South Africa\'s high-growth markets and rising population for drug companies focused on low-priced medicines that are off patent.The deal would give Cipla Ltd more clout in South Africa, where the government is introducing a national health insurance plan heavily reliant on the use of generic drugs.Cipla swooped in November when Cipla Medpro was under a cloud after chief executive Jerome Smith quit following allegations of awarding payouts without board approval.Its shares were then about 7.7 rand each, putting Cipla\'s offer at a premium of about 11 percent.Analysts and industry rivals said Cipla Ltd\'s price was ""opportunistic"" in the wake of the CEO scandal.""Given the inherent prospects of the business, I don\'t think Cipla Ltd would get 51 percent at this price, they are going to have to offer more,"" said Anthony Clark, an analyst at Vunani Securities.Just days after Cipla\'s bid proposal, Cipla Medpro was awarded a 1.4 billion rand ($159 million) share of a $667 million government two-year contract to supply of HIV/AIDS drugs to public hospitals.Analysts estimate Cipla Ltd stands to get revenues of $30-40 million annually from the contract if it gains control of Cipla Medpro.SUPPLY AGREEMENTBut some analysts said Cipla Medpro cannot afford to get too tough over the bid price because the company relies so heavily on the Indian firm\'s commitment to supply the bulk of its medicines.The supply deal was spearheaded by Smith, the former CEO and founder of the company. There had been speculation Smith\'s departure could affect Cipla Medpro\'s relationship with Cipla.The success of the takeover would remove these doubts and cement the relationship.""Cipla Medpro is worth more with a 51 percent shareholding, as it reduces the market\'s concerns regarding the sustainability of the supply agreement,"" said Mathew Menezes, an analyst at Avior Research in Johannesburg.']"
Cipla,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-02-01T12:49:00,['ET Now'],['Buy Cipla with with target price of Rs 431: Deepak Mohoni'],"['et now', 'Cipla', 'buy', 'Deepak Mohoni']",[],"[""In a chat withET Now,Deepak Mohoni, Director, trendwatchindia.com, shares his views onCipla.ET Now: What is your call on Cipla?Deepak Mohoni: Cipla is the 'BUY' call with stop loss of Rs 407 and target of Rs 431""]"
Cipla,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-02-01T13:23:00,['ET Now'],['Buy Cipla with with target price of Rs 425: Prakash Gaba'],"['Cipla Ltd.', 'et now', 'Cipla', 'buy', 'prakash gaba']",[],"['In a chat withET Now,Prakash Gaba, Head, Prakashgaba.com, shares his views onCipla.What is your call on Cipla?Cipla looks good to me and it can go to levels closer to Rs 425. I would just have a stop on Cipla at Rs 407 and trade the long side on Cipla.']"
Cipla,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-02-01T12:49:00,['ET Now'],['Buy Cipla with with target price of Rs 431: Deepak Mohoni'],"['et now', 'Cipla', 'buy', 'Deepak Mohoni']",[],"[""In a chat withET Now,Deepak Mohoni, Director, trendwatchindia.com, shares his views onCipla.ET Now: What is your call on Cipla?Deepak Mohoni: Cipla is the 'BUY' call with stop loss of Rs 407 and target of Rs 431""]"
Cipla,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-02-01T13:23:00,['ET Now'],['Buy Cipla with with target price of Rs 425: Prakash Gaba'],"['Cipla Ltd.', 'et now', 'Cipla', 'buy', 'prakash gaba']",[],"['In a chat withET Now,Prakash Gaba, Head, Prakashgaba.com, shares his views onCipla.What is your call on Cipla?Cipla looks good to me and it can go to levels closer to Rs 425. I would just have a stop on Cipla at Rs 407 and trade the long side on Cipla.']"
